"key","message","comment","context"
"%d entities removed.","%s entités supprimées.",,
"Developer Tools","Outils développeur",,
"Fetch orphans meta fields","Récupérer les champs meta orphelins",,
"Filter","Filtre",,
"Groovy Script","Script Groovy",,
"Groovy Scripts","Scripts Groovy",,
"Id",,,
"JPQL Filter","Filtre JPQL",,
"JPQL Filters","Filtres JPQL",,
"Java Class Generator","Générateur de Class Java",,
"Json",,,
"Meta Field Remover","Suppression des champs meta",,
"Meta fields","Champs meta",,
"Meta model",,,
"Number of results : %s","Nombre de résultats : %s",,
"Remove selected meta fields","Supprimer des champs meta sélectionnés",,
"Result","Résultat",,
"Run","Exécuter",,
"Script",,,
